name,owner,url,stars,age_days,merged_pull_requests,total_releases,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_percentage
selenium,SeleniumHQ,https://github.com/SeleniumHQ/selenium,32999,4601,3013,108,0,Java,10933,10783,98.63
ijkplayer,bilibili,https://github.com/bilibili/ijkplayer,32994,4462,35,0,0,C,5375,2548,47.4
vault,hashicorp,https://github.com/hashicorp/vault,32977,3830,21302,168,0,Go,6385,5244,82.13
AnotherRedisDesktopManager,qishibo,https://github.com/qishibo/AnotherRedisDesktopManager,32972,2417,152,53,0,JavaScript,1066,927,86.96
openpose,CMU-Perceptual-Computing-Lab,https://github.com/CMU-Perceptual-Computing-Lab/openpose,32934,3041,174,15,0,C++,2004,1667,83.18
ControlNet,lllyasviel,https://github.com/lllyasviel/ControlNet,32922,932,4,0,0,Python,569,138,24.25
ruoyi-vue-pro,YunaiV,https://github.com/YunaiV/ruoyi-vue-pro,32888,1670,62,44,0,Java,646,644,99.69
ShadowsocksX-NG,shadowsocks,https://github.com/shadowsocks/ShadowsocksX-NG,32821,3359,64,30,0,Swift,1358,1050,77.32
awesome-cursorrules,PatrickJS,https://github.com/PatrickJS/awesome-cursorrules,32816,339,64,0,0,MDX,41,8,19.51
awesome-awesomeness,bayandin,https://github.com/bayandin/awesome-awesomeness,32794,4062,197,0,0,Ruby,68,52,76.47
libpku,lib-pku,https://github.com/lib-pku/libpku,32705,2464,22,0,0,TeX,43,32,74.42
C-Plus-Plus,TheAlgorithms,https://github.com/TheAlgorithms/C-Plus-Plus,32660,3323,685,0,0,C++,321,311,96.88
Reactive-Resume,AmruthPillai,https://github.com/AmruthPillai/Reactive-Resume,32642,1975,633,95,0,TypeScript,1568,1248,79.59
swc,swc-project,https://github.com/swc-project/swc,32624,2799,5595,714,0,Rust,3972,3572,89.93
detectron2,facebookresearch,https://github.com/facebookresearch/detectron2,32620,2176,0,10,0,Python,3556,3091,86.92
qBittorrent,qbittorrent,https://github.com/qbittorrent/qBittorrent,32610,4947,3928,0,0,C++,16846,14547,86.35
bulletproof-react,alan2207,https://github.com/alan2207/bulletproof-react,32512,1544,70,0,0,TypeScript,115,77,66.96
data-engineering-zoomcamp,DataTalksClub,https://github.com/DataTalksClub/data-engineering-zoomcamp,32439,1400,395,0,0,Jupyter Notebook,136,134,98.53
jq,jqlang,https://github.com/jqlang/jq,32436,4781,640,15,0,C,2283,1920,84.1
pnpm,pnpm,https://github.com/pnpm/pnpm,32422,3493,2675,1000,0,TypeScript,4891,3015,61.64
certbot,certbot,https://github.com/certbot/certbot,32405,3935,4004,62,0,Python,5464,5338,97.69
rufus,pbatard,https://github.com/pbatard/rufus,32350,5024,1,84,0,C,2511,2503,99.68
drawdb,drawdb-io,https://github.com/drawdb-io/drawdb,32320,767,232,0,0,JavaScript,240,157,65.42
modern-unix,ibraheemdev,https://github.com/ibraheemdev/modern-unix,32314,1682,15,0,0,Unknown,83,30,36.14
refine,refinedev,https://github.com/refinedev/refine,32279,1674,4425,1000,0,TypeScript,1653,1622,98.12
learnGitBranching,pcottle,https://github.com/pcottle/learnGitBranching,32267,4755,604,0,0,JavaScript,516,467,90.5
